2026-03-19 13:41:01 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-19 13:41:01 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-19 13:42:01 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-19 13:42:01 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-19 13:49:52 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002060  |  psnr: 47.262494  |  ssim: 0.979442
2026-03-19 13:49:52 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001417  |  psnr: 51.098143  |  ssim: 0.991118
2026-03-19 13:59:32 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-19 13:59:32 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
2026-03-19 13:59:50 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-19 13:59:50 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-19 14:00:07 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-19 14:00:07 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-19 15:11:16 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.224612  |  psnr: 34.605204  |  ssim: 0.693527
2026-03-19 15:11:16 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001970  |  psnr: 47.875750  |  ssim: 0.985672
2026-03-19 15:14:05 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002375  |  psnr: 45.929021  |  ssim: 0.976517
2026-03-19 15:14:05 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001712  |  psnr: 49.694605  |  ssim: 0.989228
2026-03-19 15:18:31 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.182443  |  psnr: 19.855390  |  ssim: 0.420923
2026-03-19 15:18:31 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.063616  |  psnr: 20.580844  |  ssim: 0.328895
2026-03-19 15:18:48 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.048074  |  psnr: 22.088938  |  ssim: 0.469618
2026-03-19 15:18:48 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.057452  |  psnr: 21.364745  |  ssim: 0.340538
2026-03-19 15:19:06 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.045369  |  psnr: 22.562085  |  ssim: 0.471968
2026-03-19 15:19:06 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.055303  |  psnr: 21.640074  |  ssim: 0.344825
2026-03-19 15:19:59 | INFO     | srcnn_training | Epoch 0005 [TRAIN]  |  loss: 0.043372  |  psnr: 22.909095  |  ssim: 0.472532
2026-03-19 15:19:59 | INFO     | srcnn_training | Epoch 0005 [VAL]  |  loss: 0.054197  |  psnr: 21.729149  |  ssim: 0.338539
2026-03-19 15:20:17 | INFO     | srcnn_training | Epoch 0006 [TRAIN]  |  loss: 0.042569  |  psnr: 22.936276  |  ssim: 0.482463
2026-03-19 15:20:17 | INFO     | srcnn_training | Epoch 0006 [VAL]  |  loss: 0.053714  |  psnr: 21.924076  |  ssim: 0.347372
2026-03-19 15:21:28 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.042565  |  psnr: 22.957751  |  ssim: 0.478109
2026-03-19 15:21:28 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.052744  |  psnr: 22.009918  |  ssim: 0.347490
2026-03-19 15:23:25 | INFO     | srcnn_training | Epoch 0016 [TRAIN]  |  loss: 0.042453  |  psnr: 23.027257  |  ssim: 0.476660
2026-03-19 15:23:25 | INFO     | srcnn_training | Epoch 0016 [VAL]  |  loss: 0.053045  |  psnr: 22.098685  |  ssim: 0.344985
2026-03-19 15:24:49 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.042267  |  psnr: 23.092970  |  ssim: 0.475714
